BT1	58.42	57.15	90.00	BATTERY_COIN12MM	LINX_BAT-HLD-012-SMT
C1	26.42	38.61	90.00	4.7uF	C0805
C10	25.02	2.03	0.00	22uF	C0805
C11	53.72	8.26	0.00	1uF	C0603
C12	55.50	12.70	0.00	0.1uF	C0402
C13	24.26	9.02	0.00	1uF	C0603
C14	36.58	9.65	270.00	10uF	C0805
C15	44.32	22.73	180.00	0.22uF	C0402
C16	43.56	18.41	0.00	0.22uF	C0402
C17	39.50	18.92	180.00	0.1uF	C0402
C18	39.75	22.99	180.00	4.7uF	C0603
C19	53.47	48.51	180.00	22uF	C0805
C2	24.89	22.73	180.00	22uF	C0805
C20	9.40	53.98	0.00	22uF	C0805
C21	13.97	6.22	270.00	0.1uF	C0402
C22	12.32	6.73	270.00	10uF	C0805
C23	2.03	8.64	0.00	12pF	C0402
C24	2.03	9.78	0.00	12pF	C0402
C25	12.19	10.54	90.00	0.1uF	C0402
C26	10.67	28.07	180.00	0.1uF	C0402
C27	53.21	39.24	0.00	0.1uF	C0402
C28	10.29	45.85	180.00	0.1uF	C0402
C29	14.73	42.29	90.00	0.1uF	C0402
C3	52.83	21.34	90.00	10uF	C0805
C30	13.08	42.29	90.00	10uF	C0805
C31	11.18	35.31	90.00	0.1uF	C0402
C32	55.50	69.72	90.00	0.1uF	C0402
C33	8.00	41.78	90.00	0.1uF	C0402
C34	60.33	66.93	0.00	0.1uF	C0402
C35	34.80	28.83	180.00	0.1uF	C0402
C36	28.45	48.90	0.00	0.1uF	C0402
C37	57.79	82.68	0.00	0.1uF	C0402
C38	50.04	62.48	180.00	0.1uF	C0402
C39	8.64	15.24	90.00	0.1uF	C0402
C4	47.37	23.11	90.00	10uF	C0805
C40	26.54	67.95	270.00	12pF	C0402
C41	27.69	67.06	270.00	12pF	C0402
C42	38.48	67.56	180.00	1uF	C0402
C43	43.05	16.89	0.00	100uF	C1206_TANT
C44	51.18	31.62	270.00	0.1uF	C0402
C45	11.18	25.53	90.00	0.1uF	C0402
C46	47.88	63.37	90.00	0.1uF	C0402
C47	52.07	68.83	90.00	0.1uF	C0402
C48	46.99	69.22	270.00	0.1uF	C0402
C5	27.94	31.75	0.00	220uF	C2917
C50	60.96	82.68	0.00	0.1uF	C0402
C57	49.40	64.64	270.00	0.1uF	C0402
C6	34.93	38.48	270.00	68pF	C0402
C7	27.94	35.56	0.00	22uF	C0805
C8	29.59	43.18	0.00	22uF	C0805
C9	29.59	41.02	0.00	22uF	C0805
D1	33.91	3.94	270.00		DO214AC
D10	41.15	49.02	180.00	LEDGREEN0603	LED_0603
D11	41.15	46.99	180.00	LEDYELLOW0603	LED_0603
D12	41.15	44.96	180.00	LEDRED0603	LED_0603
D13	38.48	46.99	0.00	LEDGREEN0603	LED_0603
D14	38.48	44.96	0.00	LEDYELLOW0603	LED_0603
D16	35.81	44.96	0.00	LEDGREEN0603	LED_0603
D17	35.81	46.99	0.00	LEDYELLOW0603	LED_0603
D18	35.81	49.02	0.00	LEDRED0603	LED_0603
D2	27.30	8.76	0.00		SOD323-R
D3	26.29	11.30	180.00		DO214AC
D4	10.54	21.08	180.00	CLVBA-FKA	CLVBA-FKA
D5	31.37	58.17	0.00	CLVBA-FKA	CLVBA-FKA
D6	8.97	35.43	90.00		SOT23-3
D7	28.07	84.33	0.00	CLVBA-FKA	CLVBA-FKA
D8	44.07	27.86	0.00	BAT54C	SOT23-3@1
D9	20.96	14.22	270.00		DO214AC
F1	15.75	6.60	90.00		1206
F2	27.43	102.74	270.00		1206
IC1	33.02	67.56	0.00	ATMEGA1284M	MLF44-TH
J10	6.35	6.21	0.00		USB_C_CUSB31-CFM2AX-01-X
J8	46.99	4.91	180.00		JST-2-SMD
J9	44.95	86.40	180.00	B_SERIES_M.2EKEY_NOPROG	PARTICLE_M.2EKEY_NOPROG
JP8	30.73	88.52	270.00	JUMPER-SMT_3_1-NC_PASTE_SILK	SMT-JUMPER_3_1-NC_PASTE_SILK
L1	55.12	22.10	90.00	6.8uH	1008
L2	18.29	24.77	90.00	10uH	WE-XHMI(6.65X6.45)
L3	23.75	39.75	90.00	1uH	WE-LQS(3X3)
L4	32.13	9.78	0.00	4.7uH	WE-MAIA(4.1X4.1)
Q1	50.04	12.62	0.00	DMG3404	SOT23-3
Q2	46.99	12.52	180.00	DMG3404	SOT23-3
Q3	23.37	84.25	0.00	FDN360P	SOT23-3@1
Q4	24.13	93.98	90.00	2N7002	SOT323
Q5	20.32	18.85	0.00	FDN360P	SOT23-3@1
Q6	62.66	8.89	270.00	DMG3404	SOT23-3
Q7	33.15	35.56	270.00	2N7002	SOT323
Q8	17.14	10.29	180.00	2N7002	SOT323
R1	24.13	36.20	270.00	180k	R0603
R10	56.39	9.27	90.00	3m	R0805
R11	52.20	12.07	90.00	20	R0402
R12	55.50	13.84	180.00	1k	R0402
R13	28.83	6.35	180.00	182k	R0603
R14	55.50	14.99	180.00	100R	R0402
R15	48.90	15.24	0.00	2k	R0402
R16	28.83	4.32	180.00	91k	R0603
R17	28.83	2.29	0.00	330k	R0603
R18	41.15	51.18	0.00	100k	R0402
R19	23.37	81.79	0.00	120k	R0402
R2	29.34	22.61	270.00	1.62M	R0603
R20	27.94	87.38	180.00	130k	R0603
R21	34.67	15.62	270.00	470k	R0603
R22	20.70	2.16	90.00	143k	R0603
R23	50.04	31.62	90.00	100k	R0402
R24	47.88	46.23	0.00	10k	R0402
R25	15.88	59.18	0.00	10k	R0402
R26	48.01	40.51	0.00	287R	R0402
R27	48.01	43.94	180.00	287R	R0402
R28	9.27	62.61	0.00	287R	R0402
R29	12.45	62.61	0.00	287R	R0402
R3	29.34	25.65	270.00	360k	R0603
R30	48.01	41.66	0.00	287R	R0402
R31	48.01	42.80	180.00	287R	R0402
R32	9.27	63.75	0.00	287R	R0402
R33	12.45	63.75	0.00	287R	R0402
R34	5.08	8.64	180.00	27	R0402
R35	5.08	9.78	180.00	27	R0402
R36	12.19	14.73	270.00	330	R0402
R37	11.81	23.24	0.00	330	R0402
R38	9.78	15.24	270.00	330	R0402
R39	13.34	14.73	270.00	330	R0402
R4	47.37	19.43	90.00	1.62M	R0603
R40	10.92	15.24	270.00	330	R0402
R41	17.40	82.93	270.00	10k	R0402
R42	31.37	61.34	270.00	330	R0402
R43	32.51	61.34	270.00	330	R0402
R44	30.23	61.34	270.00	330	R0402
R45	8.64	67.18	90.00	10k	R0402
R46	9.91	51.56	0.00	10k	R0402
R47	48.90	31.62	90.00	10k	R0402
R48	12.83	35.31	90.00	330R	R0603
R49	9.65	38.10	180.00	10k	R0603
R5	49.91	18.92	180.00	180k	R0603
R50	56.13	30.23	270.00	10k	R0603
