"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MFP","MOUSER","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","VALUE","VALUE_PART",
"3","","CONN_022.54_SCREW","1X02_2.54_SCREWTERM","J5, J6, J7","Genaric 2 terminal header","ED10561-ND","","OnShore","","","OSTVN02A150","","","","","",
"1","","CONN_102.54_SCREW","1X10_SCREW","J2","Genaric 10 terminal header","ED10567-ND","","On Shore","","","OSTVN10A150","","","","","",
"2","","DIODEDO-214AC","DO214AC","D1, D3","Genaric Diode","CMSH3-40MATR13CT-ND","","Central Semiconductor","","","CMSH3-40MA TR13","","","","","",
"1","","DIODESOD-323","SOD323-R","D2","Genaric Diode","CMDSH2-3CT-ND","","Central Semiconductor","","","CMDSH2-3 TR","","","","","",
"1","","JST_2MM_MALE","JST-2-SMD","J8","JST 2MM MALE RA CONNECTOR","455-1749-1-ND","","JST","","","S2B-PH-SM4-TB(LF)(SN)","","","","","",
"2","","LM40402.5","SOT23-3","D6, D7","LM4040 - Precision Micropower Shunt Voltage Referance","576-1047-1-ND","","Microchip","","","LM4040DYM3-2.5-TR","","","","","",
"1","","LT3652DD","DFN_12_3X3","U4","LT3652 - Power Tracking Battery Charger for Solar Power (MPPT)","LT3652EDD#PBF-ND","","LT","","","LT3652EDD#PBF","","","","","",
"3","","MOUNTING_HOLE4_NP","4_40","H1, H2, H3","Genaric Mechanical Mounting Hole","","","","","","","","","","","",
"17","0.1uF","C-EU0.1UFC0402","C0402","C12, C17, C21, C25, C26, C27, C28, C29, C31, C32, C33, C34, C35, C36, C37, C38, C39","CAPACITOR, European symbol","490-4759-1-ND","","Murata","","","GCM155R71C104KA55D","","","","","",
"2","0.22uF","C-EU0.22UFC0402","C0402","C15, C16","CAPACITOR, European symbol","490-12265-1-ND","","Murata","","","GRT155R61E224KE01D","","","","","",
"2","1.62M","R-EU_1.62MR0603","R0603","R2, R4","RESISTOR, European symbol","RMCF0603FT1M62CT-ND","","Stackpole","","","RMCF0603FT1M62","","","","","1.62M",
"1","100R","R-EU_100R0402","R0402","R14","RESISTOR, European symbol","311-100LRCT-ND","","Yageo","","","RC0402FR-07100RL","","","","","100",
"2","100k","R-EU_100KR0402","R0402","R23, R63","RESISTOR, European symbol","311-100KLRCT-ND","","Yageo","","","RC0402FR-07100KL","","","","","100k",
"4","100k","R-EU_R0402","R0402","R57, R58, R60, R61","RESISTOR, European symbol","","","Yageo","","","","","","","","",
"1","100k","R-EU_R0603","R0603","R69","RESISTOR, European symbol","","","Yageo","","","","","","","","",
"1","100uF","CTANT_EU1206","C1206_TANT","C43","Genaric Tantalum Capacitor","718-1921-1-ND","","Vishay Sprague","","","TL8A0107M010D","","","","","",
"8","10k","R-EU_10KR0402","R0402","R24, R25, R41, R45, R46, R47, R52, R67","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","","","RC0603FR-0710KL","","","","","10k",
"2","10k","R-EU_P10KR0603","R0603","R49, R50","RESISTOR, European symbol","P10KDBCT-ND","","Panasonic","","","ERA-3AEB103V","","","","","10k",
"5","10uF","C-EU10UFC0805","C0805","C3, C4, C14, C22, C30","CAPACITOR, European symbol","490-6473-6-ND","","Murata","","","GRM21BR61C106KE15K","","","","","",
"1","10uH","INDUCTORXHMI_6.65X6.45","WE-XHMI(6.65X6.45)","L2","Genaric inductor","732-10707-1-ND","","Wurth","","","74439346100","","","","","",
"1","120k","R-EU_120KR0402","R0402","R19","RESISTOR, European symbol","311-120KLRCT-ND","","Yageo","","","RC0402FR-07120KL","","","","","120k",
"2","12pF","C-EU12PFC0402","C0402","C23, C24","CAPACITOR, European symbol","445-5585-1-ND","","TDK","","","CGA2B2C0G1H120J050BA","","","","","",
"2","12pF","C-EU12PFC0402","C0402","C40, C41","CAPACITOR, European symbol","1276-1254-1-ND","","Samsung","","","CL10C120JB8NNNC","","","","","",
"1","130k","R-EU_130KR0603","R0603","R20","RESISTOR, European symbol","311-130KHRCT-ND","","Yageo","","","RC0603FR-07130KL","","","","","130k",
"1","143k","R-EU_R0603","R0603","R22","RESISTOR, European symbol","","","Yageo","","","","","","","","",
"2","180k","R-EU_180KR0402","R0402","R65, R66","RESISTOR, European symbol","311-180KLRCT-ND","","Yageo","","","RC0402FR-07180KL","","","","","180k",
"4","180k","R-EU_180KR0603","R0603","R1, R5, R7, R8","RESISTOR, European symbol","P180KHCT-ND","","Panasonic","","","ERJ-3EKF1803V","","","","","180k",
"1","182k","R-EU_182KR0603","R0603","R13","RESISTOR, European symbol","P182KHCT-ND","","Panasonic","","","ERJ-3EKF1823V","","","","","182k",
"3","1M","R-EU_1MR0402","R0402","R53, R64, R68","RESISTOR, European symbol","311-1.00MLRCT-ND","","Yageo","","","RC0402FR-071ML","","","","","1M",
"3","1M","R-EU_R0402","R0402","R55, R56, R59","RESISTOR, European symbol","","","Yageo","","","","","","","","",
"1","1M","R-EU_R0603","R0603","R71","RESISTOR, European symbol","","","Yageo","","","","","","","","",
"1","1k","R-EU_R0402","R0402","R12","RESISTOR, European symbol","","","Yageo","","","","","","","","",
"1","1uF","C-EU0.1UFC0402","C0402","C42","CAPACITOR, European symbol","1276-6524-1-ND","","Samsung","","","CL10B105MO8NNWC","","","","","",
